epoca,train_loss,val_loss,dice_tc,dice_wt,dice_et,dice_medio,lr,guardado
18,0.4486983594347219,0.7605395804091197,0.7175403833389282,0.870891273021698,0.7348762154579163,0.7744359970092773,0.0003,0
19,0.42340233726579635,0.7209362489421193,0.802247941493988,0.8734832406044006,0.7910022139549255,0.8222444653511047,0.0003,1
20,0.4069381435630751,0.6785331055885409,0.8258386254310608,0.8661761283874512,0.8061350584030151,0.8327166438102722,0.0003,1
21,0.38947599857557014,0.6469042889955567,0.7608749866485596,0.8719273209571838,0.7707392573356628,0.8011805415153503,0.0003,0
22,0.3668108245388406,0.6189073149750872,0.7614853382110596,0.8061072826385498,0.7416551113128662,0.7697492241859436,0.0003,0
23,0.35018077053007535,0.5791370592466215,0.846311628818512,0.8742644786834717,0.7973875403404236,0.8393211960792542,0.0003,1
24,0.3351922003460712,0.5547296397569703,0.8417109251022339,0.875198483467102,0.8033193349838257,0.8400762677192688,0.0003,1
25,0.3304319953332182,0.5406619197711712,0.8440717458724976,0.8438071012496948,0.7853949666023254,0.8244245648384094,0.0003,0
26,0.30510223656892776,0.4953401437619837,0.8260179758071899,0.8740447163581848,0.8103291392326355,0.8367972373962402,0.0003,0
27,0.295703474249019,0.45174002683744197,0.7973653078079224,0.8722156286239624,0.7658997774124146,0.8118268847465515,0.0003,0
28,0.27517046180904886,0.4286416100292671,0.8577266931533813,0.8787992596626282,0.8099953532218933,0.8488404154777527,0.0003,1
29,0.24861933590203036,0.3931184461930903,0.8598095774650574,0.8842940926551819,0.8107578754425049,0.8516204953193665,0.0003,1
30,0.23741893885565585,0.37157358083783126,0.8738706707954407,0.8808571696281433,0.8183130621910095,0.8576803207397461,0.0003,1
31,0.22650754457858743,0.36537174662438837,0.8718011379241943,0.8781103491783142,0.8140667080879211,0.854659378528595,0.0003,0
32,0.21436047315841816,0.3293639737658384,0.8702097535133362,0.8806660175323486,0.8196565508842468,0.8568441271781921,0.0003,0
33,0.20252154706442943,0.30960744364959436,0.8681994080543518,0.8859999179840088,0.8098089694976807,0.8546693921089172,0.0003,0
34,0.20023682823435204,0.2967948762745392,0.8647506237030029,0.8840318918228149,0.8135519027709961,0.8541114926338196,0.0003,0
35,0.19330594517657015,0.2934462424458527,0.8685407638549805,0.827279806137085,0.8072460293769836,0.8343555331230164,0.0003,0
36,0.18972369503290926,0.2738031236136832,0.8774800896644592,0.8843738436698914,0.8246028423309326,0.8621522784233093,0.0003,1
37,0.18103711471938697,0.25667882310908013,0.8668305277824402,0.8843374252319336,0.8140439987182617,0.8550706505775452,0.0003,0
38,0.1741504208108441,0.24651023400265995,0.871957540512085,0.8757282495498657,0.8214685320854187,0.8563847541809082,0.0003,0
39,0.16741998884521547,0.24523548981765422,0.8732530474662781,0.8782411813735962,0.8057132959365845,0.8524025082588196,0.0003,0
40,0.1650338731095439,0.23652769425293294,0.8796160817146301,0.879235029220581,0.8218926191329956,0.8602479100227356,0.0003,0
41,0.15914497188613064,0.2275905231150185,0.8777949810028076,0.8895298838615417,0.8214924335479736,0.8629391193389893,0.0003,1
